="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="76","Pieroni, Blake",="100",="149100043",="100 FR LCM",="21",="48.23r",="48.23",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/29/2017",="Indiana University",="IN",="",="1017",="56",="Yes"
="81","Adrian, Nathan",="100",="132597785",="100 FR LCM",="29",="48.25",="48.25",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="California Aquatics",="PC",="",="1016",="56",="Yes"
="82","Dressel, Caeleb",="100",="149096628",="100 FR LCM",="20",="48.26",="48.26",="2021 Summer Nationals (LCM)",="2017 World Champs",="7/26/2017",="Unattached",="FL",="",="1015",="56",="Yes"
="82","Held, Ryan",="100",="109191376",="100 FR LCM",="21",="48.26",="48.26",="2021 Summer Nationals (LCM)",="2016 Olympic Trials ",="6/30/2016",="NC State University",="NC",="",="1015",="56",="Yes"
="82","Morozov, Vladimir",="100",="110499576",="100 FR LCM",="24",="48.26",="48.26",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Unattached",="CA",="Yes",="1015",="56",="Yes"
="82","Morozov, Vladimir",="100",="133071495",="100 FR LCM",="26",="48.26",="48.26",="2021 Summer Nationals (LCM)",="2018 World Cup - Kazan",="9/8/2018",="Unattached",="CA",="Yes",="1015",="56",="Yes"
="86","Rooney, Maxime",="100",="132599796",="100 FR LCM",="20",="48.27",="48.27",="2021 Summer Nationals (LCM)",="2018 Summer Nationals",="7/25/2018",="Pleasanton Seahawks",="PC",="",="1015",="56",="Yes"
="86","Schooling, Joe",="100",="110499399",="100 FR LCM",="21",="48.27",="48.27",="2021 Summer Nationals (LCM)",="2016 Olympic Games",="8/9/2016",="Unattached",="ST",="Yes",="1015",="56",="Yes"
="88","Morozov, Vladimir",="100",="119956413",="100 FR LCM",="24",="48.28",="48.28",="2021 Summer Nationals (LCM)",="Russian National Swimming Championships",="4/12/2017",="Unattached",="CA",="Yes",="1014",="56",="Yes"
="89","Adrian, Nathan",="100",="107527613",="100 FR LCM",="27",="48.29",="48.29",="2020 Olympic Trials Wave I",="2016 Atlanta Classic Swim Meet",="5/15/2016",="California Aquatics",="PC",="",="1014",="56",="Yes"
