="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="107","Brown, Erika",="100",="141227430",="100 FR LCM",="20",="54.36",="54.36",="2020 Olympic Trials Wave II",="2019 GA Atlanta Classic Swim Meet",="5/19/2019",="Tennessee Aquatics",="SE",="",="988",="56",="Yes"
="107","Deloof, Catie",="100",="154561466",="100 FR LCM",="24",="54.36",="54.36",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Cavalier Aquatics/Piedmont Family YMCA",="VA",="",="988",="56",="Yes"
="107","Hinds, Natalie",="100",="148230485",="100 FR LCM",="26",="54.36",="54.36",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Athens Bulldog Swim Club",="GA",="",="988",="56",="Yes"
="107","Manuel, Simone",="100",="153415050",="100 FR LCM",="24",="54.36",="54.36",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - San",="3/4/2021",="Alto Swim Club",="PC",="",="988",="56",="Yes"
="107","Smoliga, Olivia",="100",="154583499",="100 FR LCM",="26",="54.36",="54.36",="2020 Olympic Trials Wave II",="2021 GA SwimAtlanta's Mizuno 2021",="5/16/2021",="Athens Bulldog Swim Club",="GA",="",="988",="56",="Yes"
="112","Comerford, Mallory",="100",="141911377",="100 FR LCM",="21",="54.37",="54.37",="2020 Olympic Trials Wave II",="2019 Pro Series - Clovis",="6/15/2019",="University of Louisville",="KY",="",="988",="56",="Yes"
="112","Walsh, Gretchen",="100",="151503415",="100 FR LCM",="17",="54.37",="54.37",="2020 Olympic Trials Wave II",="2020 Toyota Huntsville",="11/14/2020",="Nashville Aquatic Club",="SE",="",="988",="56",="Yes"
="112","Weitzeil, Abbey",="100",="145622712",="100 FR LCM",="22",="54.37",="54.37",="2020 Olympic Trials Wave II",="2019 UCSD vs Cal Women's Meet",="11/11/2019",="California Aquatics",="PC",="",="988",="56",="Yes"
="115","Geer, Margo",="100",="148230087",="100 FR LCM",="27",="54.39",="54.39",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Mission Viejo Nadadores",="CA",="",="987",="56",="Yes"
="115","Haughey, Siobhan",="100",="152294867",="100 FR LCM",="21",="54.39",="54.39",="2020 Olympic Trials Wave II",="2019 Mare Nostrum Monaco 2",="6/9/2019",="Unattached",="MI",="Yes",="987",="56",="Yes"
="117","Curzan, Claire",="100",="154106432",="100 FR LCM",="16",="54.40",="54.40",="2020 Olympic Trials Wave II",="2021 NC  TAC TITANS LC Premier",="4/9/2021",="TAC Titans",="NC",="",="990",="56",="Yes"
="117","Geer, Margo",="100",="150580091",="100 FR LCM",="27",="54.40",="54.40",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Mission Viejo Nadadores",="CA",="",="987",="56",="Yes"
="119","Deloof, Catie",="100",="148831576",="100 FR LCM",="22",="54.41",="54.41",="2020 Olympic Trials Wave II",="2019 U.S. Open",="12/7/2019",="Team Elite",="NC",="",="986",="56",="Yes"
="119","DeLoof, Gabby",="100",="143504060",="100 FR LCM",="23",="54.41",="54.41",="2020 Olympic Trials Wave II",="2019 WUGS",="7/5/2019",="Club Wolverine",="MI",="",="986",="56",="Yes"
="119","Murez, Andi",="100",="152331352",="100 FR LCM",="28",="54.41",="54.41",="2020 Olympic Trials Wave II",="2020 SI CSTE Time Trial LC",="12/12/2020",="Team Elite",="NC",="Yes",="986",="56",="Yes"
="119","Ruck, Taylor",="100",="140875756",="100 FR LCM",="18",="54.41",="54.41",="2020 Olympic Trials Wave II",="2019 Canadian Swimming Trials",="4/4/2019",="Alto Swim Club",="PC",="Yes",="986",="56",="Yes"
="119","Ruck, Taylor",="100",="140336771",="100 FR LCM",="18",="54.41",="54.41",="2020 Olympic Trials Wave II",="2019 Canadian Swimming Trials",="4/3/2019",="Alto Swim Club",="PC",="Yes",="986",="56",="Yes"
="119","Schmitt, Allison",="100",="148235866",="100 FR LCM",="29",="54.41",="54.41",="2020 Olympic Trials Wave II",="2020 Pro Series - Greensboro",="11/7/2019",="Sun Devil Swimming",="AZ",="",="986",="56",="Yes"
="125","Deloof, Catie",="100",="153530393",="100 FR LCM",="24",="54.43",="54.43",="2020 Olympic Trials Wave II",="2021 VA Cavalier LCM Women Inv",="2/24/2021",="Cavalier Aquatics/Piedmont Family YMCA",="VA",="",="985",="56",="Yes"
="125","Gastaldello, Beryl",="100",="151863007",="100 FR LCM",="25",="54.43",="54.43",="2020 Olympic Trials Wave II",="2020 Championnats de France Elite ",="12/10/2020",="Unattached",="GU",="Yes",="985",="56",="Yes"
="125","Geer, Margo",="100",="142419441",="100 FR LCM",="27",="54.43",="54.43",="2020 Olympic Trials Wave II",="2019 GA Bulldog Grand Slam",="6/23/2019",="Unattached",="CA",="",="985",="56",="Yes"
="128","Deloof, Catie",="100",="150580045",="100 FR LCM",="23",="54.44",="54.44",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Team Elite",="NC",="",="985",="56",="Yes"
="128","Meynen, Julie",="100",="149089674",="100 FR LCM",="21",="54.44",="54.44",="2020 Olympic Trials Wave II",="2019 World Champs",="7/25/2019",="War Eagle Swimming",="SE",="Yes",="985",="56",="Yes"
="130","Brown, Erika",="100",="152614845",="100 FR LCM",="22",="54.45",="54.45",="2020 Olympic Trials Wave II",="2021 SE NAC January LC Invite",="1/23/2021",="Tennessee Aquatics",="SE",="",="984",="56",="Yes"
="130","Manuel, Simone",="100",="140435464",="100 FR LCM",="22",="54.45",="54.45",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="Alto Swim Club",="PC",="",="984",="56",="Yes"
="130","Smoliga, Olivia",="100",="150580302",="100 FR LCM",="25",="54.45",="54.45",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Athens Bulldog Swim Club",="GA",="",="984",="56",="Yes"
="133","McLaughlin, Katie",="100",="141417498",="100 FR LCM",="21",="54.46",="54.46",="2020 Olympic Trials Wave II",="2019 CA Speedo Grand Challenge",="5/26/2019",="California Aquatics",="PC",="",="984",="56",="Yes"
="134","Walsh, Gretchen",="100",="143504560",="100 FR LCM",="16",="54.47",="54.47",="2020 Olympic Trials Wave II",="2019 Trofeu Internacional Ciutat ",="6/16/2019",="Unattached",="SE",="",="986",="56",="Yes"
="134","Walsh, Gretchen",="100",="141946869",="100 FR LCM",="16",="54.47",="54.47",="2020 Olympic Trials Wave II",="2019 Trofeu Internacional Ciutat ",="6/15/2019",="Nashville Aquatic Club",="SE",="",="986",="56",="Yes"
="136","Deloof, Catie",="100",="152448043",="100 FR LCM",="23",="54.49",="54.49",="2020 Olympic Trials Wave II",="2021 Pro Series - Richmond",="1/17/2021",="Cavalier Aquatics/Piedmont Family YMCA",="VA",="",="982",="56",="Yes"
="136","Geer, Margo",="100",="148230088",="100 FR LCM",="27",="54.49",="54.49",="2020 Olympic Trials Wave II",="2020 Pro Series - Knoxville",="1/19/2020",="Mission Viejo Nadadores",="CA",="",="982",="56",="Yes"
="136","Meynen, Julie",="100",="142201638",="100 FR LCM",="21",="54.49",="54.49",="2020 Olympic Trials Wave II",="2019 SE Richard Quick Invitati",="6/23/2019",="War Eagle Swimming",="SE",="Yes",="982",="56",="Yes"
="139","MacNeil, Maggie",="100",="140875671",="100 FR LCM",="19",="54.51",="54.51",="2020 Olympic Trials Wave II",="2019 Canadian Swimming Trials",="4/4/2019",="Univ. Of Michigan Swim Team",="MI",="Yes",="981",="56",="Yes"
="139","MacNeil, Maggie",="100",="140337866",="100 FR LCM",="19",="54.51",="54.51",="2020 Olympic Trials Wave II",="2019 Canadian Swimming Trials",="4/3/2019",="Univ. Of Michigan Swim Team",="MI",="Yes",="981",="56",="Yes"
="139","Walsh, Gretchen",="100",="153523251",="100 FR LCM",="18",="54.51",="54.51",="2020 Olympic Trials Wave II",="2021 GA Dynamo Long Course Elite Meet",="3/7/2021",="Nashville Aquatic Club",="SE",="",="981",="56",="Yes"
="142","Huske, Torri",="100",="143945465",="100 FR LCM",="16",="54.52",="54.52",="2020 Olympic Trials Wave II",="2019 World JR Champs",="8/21/2019",="Arlington Aquatic Club",="PV",="",="984",="56",="Yes"
="143","Huske, Torri",="100",="143945463",="100 FR LCM",="16",="54.54",="54.54",="2020 Olympic Trials Wave II",="2019 World JR Champs",="8/22/2019",="Arlington Aquatic Club",="PV",="",="983",="56",="Yes"
="144","Dahlia (Worrell), Kelsi",="100",="141912099",="100 FR LCM",="24",="54.56",="54.56",="2020 Olympic Trials Wave II",="2019 Pro Series - Clovis",="6/15/2019",="Cardinal Aquatics",="KY",="",="979",="56",="Yes"
