="result_rank",="full_name",="distance",="time_id",="event_desc",="swimmer_age",="swim_time_formatted",="alt_adj_swim_time_formatted",="standard_name",="meet_name",="swim_date",="club_name",="lsc_id",="foreign_yesno",="hytek_power_points",="event_id",="sanction_status"
="64","Kusch, Marius",="100",="139626215",="100 FR LCM",="25",="48.70",="48.70",="2020 Olympic Trials Wave II",="2019 TPSS #2 Des Moines - TT",="3/8/2019",="Unattached",="NC",="Yes",="993",="56",="Yes"
="67","Dressel, Caeleb",="100",="139602684",="100 FR LCM",="22",="48.71",="48.71",="2020 Olympic Trials Wave II",="2019 Pro Series - Des Moines",="3/7/2019",="Gator Swim Club",="FL",="",="993",="56",="Yes"
="67","Howard, Robert",="100",="143707162",="100 FR LCM",="23",="48.71",="48.71",="2020 Olympic Trials Wave II",="2019 Summer Nationals",="7/31/2019",="Mission Viejo Nadadores",="CA",="",="993",="56",="Yes"
="69","Jackson, Tate",="100",="150580142",="100 FR LCM",="23",="48.72",="48.72",="2020 Olympic Trials Wave II",="2020 Pro Series - Des Moines",="3/5/2020",="Longhorn Aquatics",="ST",="",="992",="56",="Yes"
="70","Minakov, Andrei",="100",="143945994",="100 FR LCM",="17",="48.73",="48.73",="2020 Olympic Trials Wave II",="2019 World JR Champs",="8/25/2019",="Terrapins Swim Team",="PC",="Yes",="1002",="56",="Yes"
="71","Adrian, Nathan",="100",="154113126",="100 FR LCM",="32",="48.74",="48.74",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Mis",="4/10/2021",="Unattached",="PC",="",="991",="56",="Yes"
="72","Barna, Andrej",="100",="151504988",="100 FR LCM",="22",="48.75",="48.75",="2020 Olympic Trials Wave II",="2020 Toyota Indy",="11/14/2020",="Cardinal Aquatics",="KY",="Yes",="991",="56",="Yes"
="73","Apple, Zach",="100",="141078194",="100 FR LCM",="22",="48.76",="48.76",="2020 Olympic Trials Wave II",="2019 Pro Series - Bloomington",="5/17/2019",="Indiana Swim Club",="IN",="",="990",="56",="Yes"
="73","Jackson, Tate",="100",="140435196",="100 FR LCM",="22",="48.76",="48.76",="2020 Olympic Trials Wave II",="2019 Pro Series - Richmond",="4/13/2019",="University of Texas",="ST",="",="990",="56",="Yes"
="73","Pieroni, Blake",="100",="154561535",="100 FR LCM",="25",="48.76",="48.76",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Sandpipers Of Nevada",="CA",="",="990",="56",="Yes"
="76","Carter, Dylan",="100",="149088433",="100 FR LCM",="23",="48.77",="48.77",="2020 Olympic Trials Wave II",="2019 World Champs",="7/24/2019",="Unattached",="CA",="Yes",="990",="56",="Yes"
="77","Minakov, Andrei",="100",="148110001",="100 FR LCM",="17",="48.78",="48.78",="2020 Olympic Trials Wave II",="2020 FINA CS - Beijing",="1/19/2020",="Terrapins Swim Team",="PC",="Yes",="1000",="56",="Yes"
="77","Pieroni, Blake",="100",="154560738",="100 FR LCM",="25",="48.78",="48.78",="2020 Olympic Trials Wave II",="2021 TYR Pro Swim Series - Ind",="5/13/2021",="Sandpipers Of Nevada",="CA",="",="990",="56",="Yes"
="79","Minakov, Andrei",="100",="151052123",="100 FR LCM",="18",="48.80",="48.80",="2020 Olympic Trials Wave II",="2020 RUS Russian Cup ",="10/2/2020",="Terrapins Swim Team",="PC",="Yes",="989",="56",="Yes"
="79","Pieroni, Blake",="100",="142066856",="100 FR LCM",="23",="48.80",="48.80",="2020 Olympic Trials Wave II",="2019 IN ISI Counsilman Classic",="6/13/2019",="Indiana Swim Club",="IN",="",="989",="56",="Yes"
="79","Seliskar, Andrew",="100",="143736937",="100 FR LCM",="22",="48.80",="48.80",="2020 Olympic Trials Wave II",="2019 World Cup - Tokyo",="8/3/2019",="California Aquatics",="PC",="",="989",="56",="Yes"
