,full_name,swim_time_formatted,swim_date
567,"Rooney, Maxime","=""49.33""","=""8/2/2017"""
568,"Rooney, Maxime","=""49.33""","=""5/20/2021"""
570,"Craig, Cameron","=""49.34""","=""6/27/2017"""
571,"Molacek, Jacob","=""49.34""","=""7/25/2018"""
573,"Adrian, Nathan","=""49.35""","=""5/13/2021"""
577,"Held, Ryan","=""49.35""","=""1/12/2018"""
579,"Jensen, Michael","=""49.35""","=""6/2/2017"""
580,"Krueger, Danny","=""49.35""","=""8/28/2017"""
583,"Molacek, Jacob","=""49.35""","=""7/27/2018"""
585,"Chadwick, Michael","=""49.36""","=""6/15/2019"""
589,"Krueger, Danny","=""49.36""","=""5/20/2021"""
593,"Haas, Townley","=""49.37""","=""3/5/2020"""
594,"Pieroni, Blake","=""49.37""","=""5/17/2019"""
596,"Dressel, Caeleb","=""49.38""","=""6/2/2017"""
610,"Pieroni, Blake","=""49.39""","=""6/29/2016"""
613,"Theall, Mark","=""49.39""","=""7/31/2019"""
614,"Chadwick, Michael","=""49.40""","=""3/5/2020"""
615,"Chadwick, Michael","=""49.40""","=""2/8/2020"""
616,"Chadwick, Michael","=""49.40""","=""2/7/2020"""
617,"Conger, Jack","=""49.40""","=""7/12/2018"""
622,"Lasco, Destin","=""49.40""","=""7/25/2018"""
626,"Rooney, Maxime","=""49.40""","=""3/4/2021"""
627,"Apple, Zach","=""49.41""","=""5/17/2019"""
628,"Apple, Zach","=""49.41""","=""7/6/2018"""
630,"Craig, Cameron","=""49.41""","=""8/25/2016"""
631,"Haas, Townley","=""49.41""","=""5/20/2021"""
633,"Held, Ryan","=""49.42""","=""6/23/2019"""
634,"Kibler, Drew","=""49.42""","=""8/24/2018"""
637,"Apple, Zach","=""49.43""","=""6/19/2016"""
643,"Baker, Ryan","=""49.44""","=""7/27/2018"""
646,"Farris, Dean","=""49.44""","=""7/15/2018"""
647,"Jackson, Tate","=""49.44""","=""12/7/2019"""
648,"Kibler, Drew","=""49.44""","=""7/25/2018"""
649,"Krueger, Danny","=""49.44""","=""8/27/2017"""
650,"Krueger, Danny","=""49.44""","=""6/27/2017"""
651,"Apple, Zach","=""49.45""","=""6/9/2018"""
652,"Apple, Zach","=""49.45""","=""1/19/2020"""
653,"Conger, Jack","=""49.45""","=""4/13/2019"""
654,"Craig, Cameron","=""49.45""","=""8/25/2016"""
655,"Farris, Dean","=""49.45""","=""3/5/2020"""
656,"Held, Ryan","=""49.45""","=""4/13/2019"""
657,"Held, Ryan","=""49.45""","=""1/13/2017"""
658,"Howard, Robert","=""49.45""","=""12/7/2019"""
659,"Kibler, Drew","=""49.45""","=""7/11/2019"""
