,full_name,swim_time_formatted,meet_name,swim_date
242,"Held, Ryan","=""48.78""","=""2018 Summer Nationals""","=""7/25/2018"""
244,"Pieroni, Blake","=""48.78""","=""2016 Olympic Trials ""","=""6/30/2016"""
247,"Jackson, Tate","=""48.79""","=""2018 Summer Nationals""","=""7/25/2018"""
250,"Conger, Jack","=""48.80""","=""2018 Pro Series - Atlanta ""","=""3/1/2018"""
252,"Pieroni, Blake","=""48.80""","=""2019 IN ISI Counsilman Classic""","=""6/13/2019"""
253,"Seliskar, Andrew","=""48.80""","=""2019 World Cup - Tokyo""","=""8/3/2019"""
254,"Dressel, Caeleb","=""48.82""","=""2021 TYR Pro Swim Series - Mis""","=""4/10/2021"""
257,"Apple, Zach","=""48.83""","=""2019 WUGS""","=""7/7/2019"""
258,"Chadwick, Michael","=""48.83""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
259,"Seliskar, Andrew","=""48.83""","=""2019 World Cup - Tokyo""","=""8/3/2019"""
260,"Adrian, Nathan","=""48.84""","=""2018 Pro Series - Mesa""","=""4/13/2018"""
261,"Apple, Zach","=""48.84""","=""2019 WUGS""","=""7/7/2019"""
262,"Dressel, Caeleb","=""48.84""","=""2021 FL ISCA International Senior Meet""","=""3/27/2021"""
264,"Becker, Bowe","=""48.85""","=""2019 Time Trials - National Ch""","=""8/3/2019"""
266,"Apple, Zach","=""48.86""","=""2019 U.S. Open""","=""12/7/2019"""
268,"Molacek, Jacob","=""48.86""","=""2019 NC LC SR Championships""","=""7/19/2019"""
269,"Pieroni, Blake","=""48.86""","=""2019 Pro Series - Bloomington""","=""5/17/2019"""
274,"Krueger, Daniel","=""48.87""","=""2018 Summer Nationals""","=""7/25/2018"""
277,"Chadwick, Michael","=""48.88""","=""Israel Summer Championship - Long Course 2017""","=""8/3/2017"""
278,"Chadwick, Michael","=""48.88""","=""2019 Pan Am Games""","=""8/8/2019"""
280,"Howard, Robert","=""48.88""","=""2018 Summer Nationals""","=""7/25/2018"""
281,"Murphy, Ryan","=""48.88""","=""2017 Summer Nationals""","=""6/27/2017"""
283,"Apple, Zach","=""48.89""","=""2021 IN Combined Speedo Sectional""","=""3/28/2021"""
286,"Ress, Justin","=""48.89""","=""2018 Summer Nationals""","=""7/25/2018"""
289,"Adrian, Nathan","=""48.91""","=""2016 Pro Series - Austin""","=""1/15/2016"""
290,"Haas, Townley","=""48.91""","=""2019 U.S. Open""","=""12/7/2019"""
291,"Pieroni, Blake","=""48.91""","=""2019 Pro Series - Des Moines""","=""3/7/2019"""
297,"Apple, Zach","=""48.93""","=""2020 Pro Series - Des Moines""","=""3/5/2020"""
302,"Chadwick, Michael","=""48.94""","=""2019 Pan Am Games""","=""8/6/2019"""
303,"Chadwick, Michael","=""48.94""","=""2019 Pan Am Games""","=""8/8/2019"""
306,"Jackson, Tate","=""48.94""","=""2019 Pro Series - Richmond""","=""4/13/2019"""
